form,label,counts
foxy,vi_tinh,4
bao,chinh_tri_xa_hoi,4
hoa_hồng_xanh,vi_tinh,4
hn,chinh_tri_xa_hoi,4
xet,chinh_tri_xa_hoi,4
đôi_khi,doi_song,4
hiệp_hoà,chinh_tri_xa_hoi,4
barack_obama,van_hoa,4
tõn,doi_song,4
vascara,vi_tinh,4
joy,doi_song,4
lam_trang,van_hoa,4
aslam,the_gioi,4
hà_nội,chinh_tri_xa_hoi,4
hà,doi_song,4
website,chinh_tri_xa_hoi,4
huỳnh_văn_bánh,chinh_tri_xa_hoi,4
vũ_đức_đam,chinh_tri_xa_hoi,4
hồng,phap_luat,4
en,chinh_tri_xa_hoi,4
hudson-odoi,the_gioi,4
việt_phú_cinema,doi_song,4
jake,van_hoa,4
zalo_chat,vi_tinh,4
êlia,doi_song,4
viên,the_gioi,4
james_harrison,suc_khoe,4
vincom_thái_bình,chinh_tri_xa_hoi,4
tóc_tiên_clear_head,vi_tinh,4
hương,doi_song,4
đức_thánh_cha,doi_song,4
trang,chinh_tri_xa_hoi,4
lđk,phap_luat,4
ly,doi_song,4
địa,vi_tinh,4
lucas,chinh_tri_xa_hoi,4
diana,vi_tinh,4
đức_thắng,chinh_tri_xa_hoi,4
link_page,vi_tinh,4
beta_member,chinh_tri_xa_hoi,4
transform_career,vi_tinh,4
transform_u,vi_tinh,4
gray,chinh_tri_xa_hoi,4
địa,chinh_tri_xa_hoi,4
trần_hồng_hà,chinh_tri_xa_hoi,4
lưu_ý,doi_song,4
dakini,doi_song,4
triệu,chinh_tri_xa_hoi,4
highlands_coffee,doi_song,4
leung,the_gioi,4
trump,van_hoa,4
husky,doi_song,3
oanh,vi_tinh,3
hutchinson,the_gioi,3
glaser,the_gioi,3
huấn,doi_song,3
nguyễn_đăng_huy,vi_tinh,3
gia,vi_tinh,3
gipsy_danger,van_hoa,3
nguyễn_xuân_phúc,the_gioi,3
nguyện_hạnh,khoa_hoc,3
phát_lộc,vi_tinh,3
phúc,phap_luat,3
golden_line,suc_khoe,3
gaia,doi_song,3
hay,chinh_tri_xa_hoi,3
chu,vi_tinh,3
fresa,suc_khoe,3
hotline,chinh_tri_xa_hoi,3
nấm_việt,doi_song,3
năm_sinh,vi_tinh,3
phan,vi_tinh,3
hari_won,van_hoa,3
hoàng_dũng,the_gioi,3
happy,van_hoa,3
hoàng_đức_thắng,phap_luat,3
chúa_giêsu,chinh_tri_xa_hoi,3
phùng_hữu_phú,the_gioi,3
gerald_ford,the_gioi,3
daily_open,vi_tinh,3
nam,vi_tinh,3
co,doi_song,3
mai_phương,the_thao,3
minh,doi_song,3
dung_hoạ,van_hoa,3
dominic_raab,the_gioi,3
lingerie,vi_tinh,3
mcdonalds,doi_song,3
link,vi_tinh,3
mark_twain,van_hoa,3
liu_he,the_gioi,3
loan,phap_luat,3
luân_công,the_gioi,3
mai,vi_tinh,3
hương_giang,chinh_tri_xa_hoi,3
mai,suc_khoe,3
ma,vi_tinh,3
lâm_gia_thiện,the_gioi,3
dawn_valadez,vi_tinh,3
lộc,chinh_tri_xa_hoi,3
lạc,the_gioi,3
lương_tâm,khoa_hoc,3
lưu,chinh_tri_xa_hoi,3
lưu_bình_nhưỡng,chinh_tri_xa_hoi,3
danh,chinh_tri_xa_hoi,3
kristy,suc_khoe,3
klopp,the_thao,3
kim_yo_jong,the_gioi,3
kim_jong_un,the_gioi,3
nguyễn_thị_kim_ngân,chinh_tri_xa_hoi,3
nguyễn_quang_a,the_gioi,3
nguyễn_minh_cường,vi_tinh,3
eva,doi_song,3
nguyễn_lộc,chinh_tri_xa_hoi,3
hồng_anh,doi_song,3
conan,vi_tinh,3
jack,doi_song,3
nam_anh,doi_song,3
daisy,chinh_tri_xa_hoi,3
my,vi_tinh,3
judy_a_sgro,chinh_tri_xa_hoi,3
kelvin_khánh,van_hoa,3
my,doi_song,3
khánh,doi_song,3
khánh,van_hoa,3
dũng,chinh_tri_xa_hoi,3
mua_thẻ_zing,chinh_tri_xa_hoi,3
mourinho,the_thao,3
kim_bum,van_hoa,3
minh_tú,van_hoa,3
ms_hoa,chinh_tri_xa_hoi,3
giang,doi_song,3
bibo,doi_song,3
spa,chinh_tri_xa_hoi,3
yang,chinh_tri_xa_hoi,3
yang_spa,chinh_tri_xa_hoi,3
thẳng_thắn,doi_song,3
bach_mai,vi_tinh,3
tiêu_tương_đông_qua,vi_tinh,3
tony_stark,van_hoa,3
ông_địa,vi_tinh,3
toà_thánh,the_gioi,3
shop_hải_phòng,vi_tinh,3
từ,chinh_tri_xa_hoi,3
tập,the_gioi,3
ae__an,chinh_tri_xa_hoi,3
đuc,phap_luat,3
cao,doi_song,3
samfan,vi_tinh,3
sam,chinh_tri_xa_hoi,3
trinh,chinh_tri_xa_hoi,3
adele,the_gioi,3
trinh,vi_tinh,3
song_joong_ki,vi_tinh,3
ssstutter,doi_song,3
trinie_trần,doi_song,3
bắc_việt,van_hoa,3
vũ_khắc_tiệp,van_hoa,3
thanh_bí_phô_mai,vi_tinh,3
techzones,vi_tinh,3
tam_hoa,vi_tinh,3
võ_văn_hưng,chinh_tri_xa_hoi,3
weki_meki,chinh_tri_xa_hoi,3
wood,khoa_hoc,3
vân,vi_tinh,3
thu,phap_luat,3
viêt,phap_luat,3
arakawa,khoa_hoc,3
